monthYear,sprint,team,committed,completed,urgentdefects,alldefects,storiesadded,pointsadded,failedtoquantify,sprintComments
,107,onBoard,73,60,0,0,6,11,0,
"February2016",108,onBoard,81,73,0,0,0,0,0,
,109,onBoard,81,73,0,0,0,0,0,
"March2016",110,onBoard,92,40,0,0,3,7,0,
,111,onBoard,65,80,0,0,3,2,1,
"April2016",112,onBoard,78,95,0,0,5,11,0,
,113,onBoard,72,26,0,0,1,2,0,
"May2016",114,onBoard,100,97,0,0,0,0,0,
,115,onBoard,65,56,0,0,0,0,0,
"June2016",116,onBoard,59,81,0,0,3,6,0,
,117,onBoard,60,24,0,0,2,5,0,fakedata1
"July2016",118,onBoard,70,20,4,6,0,0,0,fakedata2
,85,All,351,356,0,0,0,0,0,
"April2015",86,All,372,360,0,0,0,0,0,
,87,All,345,301,0,0,0,0,0,
"May2015",88,All,372,309,0,0,0,0,0,
,89,All,297,240,0,0,0,0,0,
"June2015",90,All,369,342,0,0,0,0,0,
,91,All,322,217,0,0,0,0,0,
"July2015",92,All,310,143,1,103,0,0,0,
,93,All,327,175,3,5,0,0,0,
"August2015",94,All,288,244,0,0,0,0,0,
,95,All,319,244,0,0,0,0,0,
"September2015",96,All,248,245,0,0,0,0,0,
,97,All,283,239,0,0,0,0,0,
,98,All,344,282,0,0,0,0,0,
"October2015",99,All,283,252,0,0,0,0,0,
,100,All,260,203,0,0,0,0,0,
"November2015",101,All,283,201,0,0,0,0,0,
,102,All,193,200,0,0,0,0,0,
"December2015",103,All,130,159,0,0,0,0,0,
,104,All,156,153,0,0,3,2,2,
"January2016",105,All,190,199,0,0,11,18,4,
,106,All,275,290,0,0,11,12,4,
,107,All,357,245,0,0,15,28,2,
"February2016",108,All,371,324,0,0,1,0,1,
,109,All,365,272,0,0,4,1,3,
"March2016",110,All,366,287,0,0,15,21,6,
,111,All,335,197,0,0,8,9,2,
"April2016",112,All,307,311,0,0,23,33,3,
,113,All,323,240,0,0,4,2,3,
"May2016",114,All,381,307,0,0,0,0,0,
,115,All,290,238,0,0,0,0,0,
"June2016",116,All,326,303,0,0,7,17,1,
,117,All,60,24,0,0,2,5,0,fakedata1
"July2016",118,All,100,40,13,40,1,0,0,fakedata2
